"dog_id" "context_id" "day_since_arrival" "behaviour_code_name" "behaviour_code_number" "behaviour_code_colour"
2 6 57 NA NA NA
2 7 57 NA NA NA
2 8 57 NA NA NA
2 1 58 NA NA NA
2 2 58 NA NA NA
2 3 58 NA NA NA
2 4 58 NA NA NA
2 5 58 NA NA NA
2 6 58 NA NA NA
2 7 58 NA NA NA
2 8 58 NA NA NA
2 1 59 NA NA NA
2 2 59 NA NA NA
2 3 59 "[EX] Excitable" 2 1
2 4 59 "[EX] Excitable" 2 1
2 5 59 "[ST] Stressed" 4 1
2 6 59 "[EX] Excitable" 2 1
2 7 59 "[PL] Playful" 2 1
2 8 59 "[PL] Playful" 2 1
2 1 60 "[RDNA] React to Dogs Non-Aggressive" 9 2
2 2 60 NA NA NA
2 3 60 "[EX] Excitable" 2 1
2 4 60 "[EX] Excitable" 2 1
2 5 60 "[VO] Vocal" 2 1
2 6 60 "[RE] Relaxed" 1 1
2 7 60 NA NA NA
2 8 60 "[RE] Relaxed" 1 1
2 1 61 NA NA NA
2 2 61 NA NA NA
2 3 61 "[EX] Excitable" 2 1
2 4 61 "[EX] Excitable" 2 1
2 5 61 "[VO] Vocal" 2 1
2 6 61 "[EX] Excitable" 2 1
2 7 61 NA NA NA
2 8 61 "[RE] Relaxed" 1 1
2 1 62 NA NA NA
2 2 62 NA NA NA
2 3 62 NA NA NA
2 4 62 NA NA NA
2 5 62 NA NA NA
2 6 62 NA NA NA
2 7 62 NA NA NA
2 8 62 NA NA NA
2 1 63 NA NA NA
2 2 63 NA NA NA
2 3 63 NA NA NA
2 4 63 NA NA NA
2 5 63 NA NA NA
2 6 63 NA NA NA
2 7 63 NA NA NA
2 8 63 NA NA NA
2 1 64 NA NA NA
2 2 64 NA NA NA
2 3 64 "[FR] Friendly" 1 1
2 4 64 "[RE] Relaxed" 1 1
2 5 64 "[RDNA] React to Dogs Non-Aggressive" 6 2
2 6 64 "[RE] Relaxed" 1 1
2 7 64 NA NA NA
2 8 64 "[PL] Playful" 2 1
2 1 65 NA NA NA
2 2 65 NA NA NA
2 3 65 "[EX] Excitable" 2 1
2 4 65 "[EX] Excitable" 2 1
2 5 65 "[ST] Stressed" 4 1
2 6 65 "[EX] Excitable" 2 1
2 7 65 NA NA NA
2 8 65 "[RE] Relaxed" 1 1
