"dog_id","length_of_stay","number_of_total_observations","sex","latest_weight","estimated_age_at_departure","neuter_status","source_type","adoption_site"
83,9,47,"Male",7.7,7.189041096,"Yes","Gift","Brands Hatch"
84,18,43,"Male",21.5,4.046575342,"On Site","Return","Old Windsor"
85,24,43,"Male",17.5,2.564383562,"Yes","Gift","Battersea"
86,22,62,"Male",23.5,1.55890411,"On Site","Gift","Old Windsor"
87,13,51,"Female",12.9,3.873972603,"Yes","Gift","Brands Hatch"
88,38,163,"Female",23.8,0.9808219178,"On Site","Gift","Brands Hatch"
89,18,77,"Female",5.4,1.547945205,"On Site","Stray","Old Windsor"
90,15,82,"Male",6.4,9.01369863,"Yes","Return","Brands Hatch"
91,35,140,"Female",21.5,0.8630136986,"On Site","Stray","Old Windsor"
92,15,69,"Male",9.3,3.761643836,"Yes","Gift","Brands Hatch"
93,98,537,"Female",24.6,3.454794521,"On Site","Return","Brands Hatch"
94,17,48,"Female",5.1,6.043835616,"On Site","Gift","Battersea"
95,25,93,"Male",16,1.071232877,"On Site","Gift","Brands Hatch"
96,51,322,"Female",21.6,6.394520548,"Yes","Gift","Brands Hatch"
97,39,130,"Male",9,9.665753425,"On Site","Gift","Old Windsor"
98,19,118,"Female",28.2,4.049315068,"Yes","Gift","Brands Hatch"
