Inference for Stan model: jhb_ordinal_hurdle_model_model
2 chains: each with iter=(5000,5000); warmup=(0,0); thin=(1,1); 10000 iterations saved.

Warmup took (51891, 52317) seconds, 29 hours total
Sampling took (207010, 208747) seconds, 115 hours total

                    Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
L_j[2,1]         2.8e-01  9.1e-03  2.3e-01  -1.4e-01   3.0e-01   6.0e-01  6.2e+02  1.5e-03  1.0e+00
L_j[2,2]         9.3e-01  2.2e-03  6.6e-02   8.0e-01   9.5e-01   1.0e+00  9.2e+02  2.2e-03  1.0e+00
L_j[2,3]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[2,4]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[2,5]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[2,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[3,1]        -9.7e-02  7.1e-03  1.4e-01  -3.4e-01  -9.6e-02   1.4e-01  4.1e+02  9.8e-04  1.0e+00
L_j[3,2]         3.2e-01  6.4e-03  1.2e-01   1.1e-01   3.2e-01   5.1e-01  3.8e+02  9.1e-04  1.0e+00
L_j[3,3]         9.2e-01  1.6e-03  4.2e-02   8.5e-01   9.3e-01   9.8e-01  6.8e+02  1.6e-03  1.0e+00
L_j[3,4]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[3,5]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[3,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[4,1]         1.8e-01  6.0e-03  1.9e-01  -1.5e-01   1.8e-01   4.8e-01  9.9e+02  2.4e-03  1.0e+00
L_j[4,2]        -2.9e-01  6.1e-03  1.7e-01  -5.6e-01  -3.0e-01   1.0e-02  8.2e+02  2.0e-03  1.0e+00
L_j[4,3]         3.1e-02  2.6e-03  1.2e-01  -1.7e-01   3.0e-02   2.3e-01  2.1e+03  5.0e-03  1.0e+00
L_j[4,4]         8.9e-01  2.0e-03  7.0e-02   7.6e-01   9.1e-01   9.8e-01  1.2e+03  3.0e-03  1.0e+00
L_j[4,5]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[4,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[5,1]         4.3e-02  5.8e-03  2.0e-01  -2.9e-01   4.7e-02   3.8e-01  1.2e+03  3.0e-03  1.0e+00
L_j[5,2]        -1.9e-01  5.0e-03  1.9e-01  -5.1e-01  -1.9e-01   1.3e-01  1.5e+03  3.5e-03  1.0e+00
L_j[5,3]        -1.7e-02  2.5e-03  1.4e-01  -2.5e-01  -1.8e-02   2.1e-01  3.0e+03  7.3e-03  1.0e+00
L_j[5,4]         2.5e-01  4.2e-03  1.9e-01  -7.2e-02   2.6e-01   5.5e-01  2.0e+03  4.8e-03  1.0e+00
L_j[5,5]         8.7e-01  1.5e-03  7.9e-02   7.2e-01   8.9e-01   9.7e-01  2.7e+03  6.5e-03  1.0e+00
L_j[5,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_j[6,1]        -3.8e-01  5.8e-03  1.7e-01  -6.5e-01  -3.9e-01  -8.1e-02  9.2e+02  2.2e-03  1.0e+00
L_j[6,2]        -2.6e-01  5.5e-03  1.7e-01  -5.4e-01  -2.6e-01   2.4e-02  9.5e+02  2.3e-03  1.0e+00
L_j[6,3]         1.1e-01  4.3e-03  1.3e-01  -1.0e-01   1.1e-01   3.2e-01  8.7e+02  2.1e-03  1.0e+00
L_j[6,4]         2.5e-01  6.6e-03  1.9e-01  -8.8e-02   2.6e-01   5.6e-01  8.6e+02  2.1e-03  1.0e+00
L_j[6,5]         9.9e-02  6.3e-03  2.1e-01  -2.4e-01   9.9e-02   4.4e-01  1.1e+03  2.6e-03  1.0e+00
L_j[6,6]         7.3e-01  3.8e-03  1.3e-01   4.9e-01   7.5e-01   9.1e-01  1.1e+03  2.8e-03  1.0e+00
L_g[1,1]         1.0e+00      nan  4.5e-14   1.0e+00   1.0e+00   1.0e+00      nan      nan      nan
L_g[1,2]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[1,3]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[1,4]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[1,5]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[1,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[2,1]         3.2e-01  2.9e-03  2.4e-01  -9.6e-02   3.4e-01   6.8e-01  6.7e+03  1.6e-02  1.0e+00
L_g[2,2]         9.1e-01  1.1e-03  8.7e-02   7.4e-01   9.4e-01   1.0e+00  6.5e+03  1.6e-02  1.0e+00
L_g[2,3]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[2,4]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[2,5]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[2,6]         0.0e+00      nan  0.0e+00   0.0e+00   0.0e+00   0.0e+00      nan      nan      nan
L_g[3,1]         2.1e-01  2.9e-03  2.3e-01  -1.9e-01   2.2e-01   5.7e-01  6.6e+03  1.6e-02  1.0e+00
L_g[3,2]         4.1e-02  2.8e-03  2.5e-01  -3.7e-01   4.2e-02   4.5e-01  7.9e+03  1.9e-02  1.0e+00
