Inference for Stan model: jhb_ordinal_hurdle_model_model
2 chains: each with iter=(5000,5000); warmup=(0,0); thin=(1,1); 10000 iterations saved.

Warmup took (51891, 52317) seconds, 29 hours total
Sampling took (207010, 208747) seconds, 115 hours total

                    Mean     MCSE   StdDev        5%       50%       95%    N_Eff  N_Eff/s    R_hat
z_jg[1661,3]    -1.3e-01  6.7e-03  9.4e-01  -1.7e+00  -1.2e-01   1.4e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1661,4]    -3.1e-01  6.1e-03  8.9e-01  -1.8e+00  -3.0e-01   1.1e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1661,5]    -3.5e-02  6.5e-03  9.9e-01  -1.7e+00  -3.1e-02   1.6e+00  2.3e+04  5.6e-02  1.0e+00
z_jg[1661,6]     2.0e-03  6.5e-03  1.0e+00  -1.7e+00   8.5e-03   1.6e+00  2.4e+04  5.7e-02  1.0e+00
z_jg[1662,1]     1.0e-01  6.7e-03  8.0e-01  -1.2e+00   1.0e-01   1.4e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1662,2]    -3.0e-01  7.2e-03  9.0e-01  -1.8e+00  -3.0e-01   1.2e+00  1.6e+04  3.8e-02  1.0e+00
z_jg[1662,3]     4.7e-01  6.4e-03  9.2e-01  -1.0e+00   4.8e-01   2.0e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1662,4]    -4.2e-01  6.4e-03  8.8e-01  -1.9e+00  -4.1e-01   1.0e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1662,5]    -3.9e-02  7.2e-03  1.0e+00  -1.7e+00  -2.9e-02   1.6e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1662,6]    -1.4e-03  7.1e-03  1.0e+00  -1.6e+00  -8.5e-03   1.7e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1663,1]    -2.1e-01  6.8e-03  9.6e-01  -1.8e+00  -1.9e-01   1.4e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1663,2]     1.5e-01  7.2e-03  9.8e-01  -1.5e+00   1.5e-01   1.8e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1663,3]    -4.8e-01  6.1e-03  8.9e-01  -1.9e+00  -4.8e-01   9.8e-01  2.1e+04  5.1e-02  1.0e+00
z_jg[1663,4]    -9.6e-02  7.0e-03  9.2e-01  -1.6e+00  -8.7e-02   1.4e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1663,5]    -7.3e-03  6.8e-03  1.0e+00  -1.7e+00   7.5e-03   1.6e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1663,6]     7.1e-03  7.0e-03  1.0e+00  -1.6e+00   1.8e-02   1.7e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1664,1]    -3.1e-01  6.9e-03  9.5e-01  -1.9e+00  -3.0e-01   1.2e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1664,2]     6.3e-02  6.7e-03  9.6e-01  -1.5e+00   6.4e-02   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1664,3]     7.2e-02  6.5e-03  9.3e-01  -1.5e+00   8.6e-02   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1664,4]    -3.7e-01  6.1e-03  8.6e-01  -1.8e+00  -3.5e-01   1.0e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1664,5]    -2.6e-02  7.4e-03  9.9e-01  -1.7e+00  -2.9e-02   1.6e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1664,6]     6.6e-03  7.3e-03  1.0e+00  -1.7e+00   2.1e-02   1.7e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1665,1]    -8.7e-01  9.2e-03  7.5e-01  -2.1e+00  -8.6e-01   3.5e-01  6.6e+03  1.6e-02  1.0e+00
z_jg[1665,2]     1.2e+00  1.4e-02  9.6e-01  -3.5e-01   1.2e+00   2.8e+00  4.7e+03  1.1e-02  1.0e+00
z_jg[1665,3]    -1.0e+00  7.8e-03  8.9e-01  -2.5e+00  -1.0e+00   4.3e-01  1.3e+04  3.1e-02  1.0e+00
z_jg[1665,4]     2.0e+00  7.9e-03  7.1e-01   8.6e-01   2.0e+00   3.2e+00  8.1e+03  1.9e-02  1.0e+00
z_jg[1665,5]    -2.2e-02  7.0e-03  9.5e-01  -1.6e+00  -3.0e-02   1.5e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1665,6]    -5.6e-03  6.6e-03  1.0e+00  -1.6e+00  -2.2e-03   1.7e+00  2.3e+04  5.6e-02  1.0e+00
z_jg[1666,1]     7.3e-01  6.5e-03  7.6e-01  -5.2e-01   7.4e-01   2.0e+00  1.4e+04  3.3e-02  1.0e+00
z_jg[1666,2]    -7.8e-01  7.8e-03  9.1e-01  -2.3e+00  -8.0e-01   7.3e-01  1.4e+04  3.3e-02  1.0e+00
z_jg[1666,3]     1.9e-01  6.5e-03  8.6e-01  -1.2e+00   1.7e-01   1.6e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1666,4]    -4.0e-01  6.9e-03  8.6e-01  -1.9e+00  -3.8e-01   1.0e+00  1.6e+04  3.8e-02  1.0e+00
z_jg[1666,5]    -2.3e-02  7.1e-03  1.0e+00  -1.6e+00  -2.0e-02   1.6e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1666,6]     3.2e-03  6.9e-03  1.0e+00  -1.7e+00   4.2e-03   1.7e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1667,1]     1.1e+00  6.3e-03  7.2e-01  -1.6e-01   1.1e+00   2.2e+00  1.3e+04  3.2e-02  1.0e+00
z_jg[1667,2]    -4.0e-01  7.6e-03  9.0e-01  -1.9e+00  -4.0e-01   1.1e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1667,3]     4.0e-01  7.0e-03  8.6e-01  -9.9e-01   4.1e-01   1.8e+00  1.5e+04  3.7e-02  1.0e+00
z_jg[1667,4]    -2.1e-01  6.0e-03  9.0e-01  -1.7e+00  -1.9e-01   1.2e+00  2.3e+04  5.5e-02  1.0e+00
z_jg[1667,5]    -1.6e-02  7.0e-03  9.8e-01  -1.6e+00  -1.1e-02   1.6e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1667,6]    -2.5e-04  6.7e-03  1.0e+00  -1.7e+00   3.3e-03   1.7e+00  2.2e+04  5.4e-02  1.0e+00
z_jg[1668,1]     1.1e+00  7.2e-03  7.1e-01  -8.1e-02   1.1e+00   2.3e+00  9.7e+03  2.3e-02  1.0e+00
z_jg[1668,2]    -7.2e-01  9.4e-03  8.7e-01  -2.2e+00  -7.3e-01   6.9e-01  8.4e+03  2.0e-02  1.0e+00
z_jg[1668,3]     5.7e-01  6.6e-03  8.6e-01  -8.2e-01   5.6e-01   2.0e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1668,4]     9.0e-01  6.1e-03  7.2e-01  -2.8e-01   9.2e-01   2.1e+00  1.4e+04  3.3e-02  1.0e+00
z_jg[1668,5]     2.0e-01  8.9e-03  1.0e+00  -1.4e+00   2.0e-01   1.8e+00  1.3e+04  3.0e-02  1.0e+00
z_jg[1668,6]     7.9e-03  7.3e-03  9.9e-01  -1.6e+00   7.1e-03   1.6e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1669,1]    -8.7e-01  6.2e-03  7.8e-01  -2.2e+00  -8.6e-01   3.9e-01  1.6e+04  3.9e-02  1.0e+00
z_jg[1669,2]     4.3e-01  7.2e-03  9.3e-01  -1.1e+00   4.2e-01   2.0e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1669,3]    -4.6e-02  6.8e-03  8.8e-01  -1.5e+00  -4.6e-02   1.4e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1669,4]    -2.8e-01  6.7e-03  9.0e-01  -1.8e+00  -2.6e-01   1.2e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1669,5]    -3.9e-02  7.2e-03  1.0e+00  -1.7e+00  -4.4e-02   1.6e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1669,6]    -7.3e-03  6.8e-03  9.7e-01  -1.6e+00  -9.9e-03   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1670,1]    -7.7e-01  6.3e-03  8.3e-01  -2.2e+00  -7.5e-01   5.9e-01  1.8e+04  4.2e-02  1.0e+00
z_jg[1670,2]     3.1e-01  7.7e-03  9.4e-01  -1.2e+00   3.0e-01   1.9e+00  1.5e+04  3.5e-02  1.0e+00
z_jg[1670,3]     1.1e-01  6.1e-03  8.7e-01  -1.3e+00   1.1e-01   1.5e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1670,4]    -3.6e-01  5.9e-03  8.7e-01  -1.8e+00  -3.5e-01   1.0e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1670,5]    -2.9e-02  6.9e-03  9.9e-01  -1.6e+00  -1.8e-02   1.6e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1670,6]     3.7e-03  7.1e-03  1.0e+00  -1.6e+00  -1.6e-03   1.7e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1671,1]     5.3e-01  6.8e-03  8.2e-01  -8.3e-01   5.5e-01   1.9e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1671,2]    -6.0e-01  7.4e-03  9.0e-01  -2.1e+00  -6.0e-01   8.8e-01  1.5e+04  3.6e-02  1.0e+00
z_jg[1671,3]    -3.8e-01  5.7e-03  8.4e-01  -1.8e+00  -3.8e-01   1.0e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1671,4]    -1.6e-01  7.3e-03  9.1e-01  -1.7e+00  -1.3e-01   1.3e+00  1.6e+04  3.7e-02  1.0e+00
z_jg[1671,5]    -1.8e-02  7.5e-03  1.0e+00  -1.7e+00  -2.2e-02   1.6e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1671,6]    -3.4e-03  6.8e-03  1.0e+00  -1.7e+00  -8.0e-03   1.7e+00  2.3e+04  5.5e-02  1.0e+00
z_jg[1672,1]    -3.9e-01  6.8e-03  9.0e-01  -1.9e+00  -3.7e-01   1.1e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1672,2]     8.7e-02  7.3e-03  9.5e-01  -1.5e+00   8.0e-02   1.7e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1672,3]     2.2e-01  6.6e-03  8.6e-01  -1.2e+00   2.2e-01   1.6e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1672,4]    -4.2e-01  6.7e-03  8.6e-01  -1.9e+00  -4.1e-01   9.6e-01  1.7e+04  4.0e-02  1.0e+00
z_jg[1672,5]    -6.0e-03  6.6e-03  9.9e-01  -1.6e+00  -3.6e-03   1.6e+00  2.2e+04  5.4e-02  1.0e+00
z_jg[1672,6]     2.4e-03  7.4e-03  1.0e+00  -1.6e+00  -7.8e-03   1.7e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1673,1]     9.0e-01  7.3e-03  8.4e-01  -5.0e-01   9.1e-01   2.3e+00  1.3e+04  3.2e-02  1.0e+00
z_jg[1673,2]    -8.0e-01  7.2e-03  8.9e-01  -2.3e+00  -8.0e-01   6.7e-01  1.5e+04  3.7e-02  1.0e+00
z_jg[1673,3]     5.6e-01  6.8e-03  9.3e-01  -9.5e-01   5.6e-01   2.1e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1673,4]     7.1e-02  6.2e-03  7.5e-01  -1.2e+00   7.1e-02   1.3e+00  1.5e+04  3.6e-02  1.0e+00
z_jg[1673,5]    -1.0e-02  7.6e-03  9.9e-01  -1.6e+00  -4.3e-03   1.6e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1673,6]     3.8e-04  7.1e-03  1.0e+00  -1.6e+00   6.1e-04   1.6e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1674,1]     1.2e-01  7.1e-03  9.1e-01  -1.4e+00   1.3e-01   1.6e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1674,2]     2.8e-01  7.8e-03  9.4e-01  -1.2e+00   2.7e-01   1.8e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1674,3]     1.5e-01  6.6e-03  9.2e-01  -1.4e+00   1.5e-01   1.7e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1674,4]     8.6e-01  6.2e-03  7.6e-01  -3.9e-01   8.7e-01   2.1e+00  1.5e+04  3.6e-02  1.0e+00
z_jg[1674,5]    -1.4e-01  8.7e-03  1.0e+00  -1.8e+00  -1.5e-01   1.5e+00  1.3e+04  3.2e-02  1.0e+00
z_jg[1674,6]    -3.8e-03  7.2e-03  1.0e+00  -1.7e+00  -1.4e-06   1.7e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1675,1]    -2.3e-01  6.6e-03  9.4e-01  -1.8e+00  -2.1e-01   1.3e+00  2.1e+04  4.9e-02  1.0e+00
z_jg[1675,2]     1.4e-01  6.6e-03  9.4e-01  -1.4e+00   1.3e-01   1.7e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1675,3]    -1.0e-01  6.2e-03  9.3e-01  -1.6e+00  -9.5e-02   1.4e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1675,4]    -1.1e-01  7.3e-03  9.4e-01  -1.7e+00  -1.1e-01   1.4e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1675,5]     1.7e-02  6.7e-03  9.7e-01  -1.6e+00   1.3e-02   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1675,6]     4.9e-03  7.6e-03  9.9e-01  -1.6e+00  -1.8e-03   1.6e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1676,1]     2.6e-01  8.3e-03  8.8e-01  -1.2e+00   2.8e-01   1.7e+00  1.1e+04  2.8e-02  1.0e+00
z_jg[1676,2]     4.8e-01  1.1e-02  9.7e-01  -1.1e+00   4.8e-01   2.1e+00  7.4e+03  1.8e-02  1.0e+00
z_jg[1676,3]    -2.1e-01  7.6e-03  9.4e-01  -1.8e+00  -1.9e-01   1.3e+00  1.6e+04  3.7e-02  1.0e+00
z_jg[1676,4]     1.5e+00  8.0e-03  7.5e-01   2.7e-01   1.5e+00   2.7e+00  8.8e+03  2.1e-02  1.0e+00
z_jg[1676,5]    -2.3e-01  1.0e-02  1.0e+00  -1.9e+00  -2.4e-01   1.5e+00  9.9e+03  2.4e-02  1.0e+00
z_jg[1676,6]     4.2e-03  6.9e-03  1.0e+00  -1.6e+00   2.3e-03   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1677,1]    -5.1e-01  6.5e-03  8.8e-01  -2.0e+00  -5.0e-01   9.2e-01  1.8e+04  4.4e-02  1.0e+00
z_jg[1677,2]     3.3e-01  6.8e-03  9.3e-01  -1.2e+00   3.3e-01   1.9e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1677,3]    -2.4e-01  7.0e-03  9.5e-01  -1.8e+00  -2.5e-01   1.3e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1677,4]    -1.0e-01  6.3e-03  9.3e-01  -1.7e+00  -8.8e-02   1.4e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1677,5]     1.6e-02  6.6e-03  9.9e-01  -1.6e+00   9.9e-03   1.7e+00  2.3e+04  5.4e-02  1.0e+00
z_jg[1677,6]     1.0e-02  7.2e-03  1.0e+00  -1.6e+00   1.6e-03   1.7e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1678,1]    -4.4e-01  7.0e-03  8.9e-01  -1.9e+00  -4.3e-01   1.0e+00  1.6e+04  3.9e-02  1.0e+00
z_jg[1678,2]     2.0e-01  7.0e-03  9.4e-01  -1.3e+00   1.8e-01   1.8e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1678,3]     1.7e-01  6.8e-03  9.5e-01  -1.4e+00   1.8e-01   1.7e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1678,4]    -2.6e-01  6.4e-03  9.1e-01  -1.8e+00  -2.5e-01   1.3e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1678,5]     3.6e-02  7.0e-03  1.0e+00  -1.6e+00   1.6e-02   1.7e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1678,6]     4.4e-04  6.7e-03  1.0e+00  -1.6e+00  -8.4e-03   1.6e+00  2.2e+04  5.4e-02  1.0e+00
z_jg[1679,1]    -1.8e-01  7.1e-03  9.4e-01  -1.8e+00  -1.6e-01   1.4e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1679,2]     1.2e-01  6.8e-03  9.8e-01  -1.5e+00   1.1e-01   1.7e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1679,3]    -4.7e-01  6.4e-03  9.1e-01  -2.0e+00  -4.6e-01   1.0e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1679,4]    -1.1e-01  6.4e-03  9.3e-01  -1.7e+00  -9.2e-02   1.4e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1679,5]     2.5e-02  7.0e-03  9.9e-01  -1.6e+00   2.8e-02   1.7e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1679,6]    -4.4e-03  6.4e-03  9.9e-01  -1.6e+00   3.5e-03   1.6e+00  2.4e+04  5.8e-02  1.0e+00
z_jg[1680,1]    -2.8e-01  7.0e-03  9.2e-01  -1.8e+00  -2.8e-01   1.2e+00  1.7e+04  4.2e-02  1.0e+00
z_jg[1680,2]     8.7e-02  7.2e-03  9.6e-01  -1.5e+00   8.7e-02   1.7e+00  1.8e+04  4.2e-02  1.0e+00
z_jg[1680,3]    -2.7e-01  7.0e-03  9.7e-01  -1.9e+00  -2.7e-01   1.3e+00  1.9e+04  4.6e-02  1.0e+00
z_jg[1680,4]    -3.5e-01  7.0e-03  9.3e-01  -1.8e+00  -3.6e-01   1.2e+00  1.8e+04  4.2e-02  1.0e+00
z_jg[1680,5]     5.5e-02  7.6e-03  9.9e-01  -1.5e+00   6.0e-02   1.7e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1680,6]     4.0e-03  7.4e-03  1.0e+00  -1.6e+00  -2.9e-03   1.7e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1681,1]     6.1e-01  5.9e-03  7.2e-01  -5.8e-01   6.2e-01   1.8e+00  1.5e+04  3.6e-02  1.0e+00
z_jg[1681,2]    -5.8e-01  8.1e-03  8.9e-01  -2.0e+00  -5.8e-01   8.8e-01  1.2e+04  2.9e-02  1.0e+00
z_jg[1681,3]     7.8e-01  6.5e-03  8.4e-01  -5.8e-01   7.7e-01   2.2e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1681,4]    -2.9e-01  7.2e-03  9.1e-01  -1.8e+00  -2.8e-01   1.2e+00  1.6e+04  3.8e-02  1.0e+00
z_jg[1681,5]     2.3e-02  7.5e-03  1.0e+00  -1.6e+00   2.8e-02   1.7e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1681,6]    -5.0e-03  6.6e-03  9.8e-01  -1.6e+00   1.2e-03   1.6e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1682,1]    -5.4e-01  6.4e-03  8.4e-01  -2.0e+00  -5.1e-01   7.9e-01  1.7e+04  4.2e-02  1.0e+00
z_jg[1682,2]     2.4e-01  6.4e-03  9.3e-01  -1.3e+00   2.3e-01   1.8e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1682,3]    -1.0e-01  6.0e-03  8.3e-01  -1.5e+00  -9.8e-02   1.3e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1682,4]    -6.0e-02  6.7e-03  9.4e-01  -1.6e+00  -4.3e-02   1.5e+00  1.9e+04  4.7e-02  1.0e+00
z_jg[1682,5]     1.1e-02  7.6e-03  1.0e+00  -1.6e+00   4.9e-03   1.7e+00  1.8e+04  4.2e-02  1.0e+00
z_jg[1682,6]    -1.2e-04  6.6e-03  1.0e+00  -1.6e+00   5.2e-03   1.6e+00  2.3e+04  5.5e-02  1.0e+00
z_jg[1683,1]    -3.5e-01  6.7e-03  8.6e-01  -1.8e+00  -3.2e-01   1.0e+00  1.6e+04  4.0e-02  1.0e+00
z_jg[1683,2]     9.0e-02  7.1e-03  9.5e-01  -1.5e+00   9.4e-02   1.6e+00  1.8e+04  4.3e-02  1.0e+00
z_jg[1683,3]     5.6e-01  5.7e-03  8.1e-01  -7.7e-01   5.6e-01   1.9e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1683,4]    -1.9e-02  6.8e-03  9.8e-01  -1.6e+00  -1.8e-02   1.6e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1683,5]    -2.9e-03  7.4e-03  1.0e+00  -1.6e+00   8.5e-03   1.7e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1683,6]    -1.7e-03  6.4e-03  1.0e+00  -1.7e+00  -9.3e-04   1.6e+00  2.4e+04  5.8e-02  1.0e+00
z_jg[1684,1]     6.5e-02  6.7e-03  7.6e-01  -1.2e+00   7.2e-02   1.3e+00  1.3e+04  3.1e-02  1.0e+00
z_jg[1684,2]    -2.6e-01  7.1e-03  9.0e-01  -1.7e+00  -2.7e-01   1.2e+00  1.6e+04  3.9e-02  1.0e+00
z_jg[1684,3]    -1.2e-01  6.1e-03  8.1e-01  -1.5e+00  -1.2e-01   1.2e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1684,4]    -1.7e-02  6.8e-03  9.9e-01  -1.6e+00  -1.5e-02   1.6e+00  2.1e+04  5.1e-02  1.0e+00
z_jg[1684,5]    -3.0e-03  6.5e-03  1.0e+00  -1.7e+00  -5.0e-03   1.6e+00  2.5e+04  5.9e-02  1.0e+00
z_jg[1684,6]    -5.4e-03  6.8e-03  1.0e+00  -1.7e+00  -1.2e-02   1.7e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1685,1]    -1.8e-01  5.3e-03  6.2e-01  -1.2e+00  -1.7e-01   8.3e-01  1.4e+04  3.3e-02  1.0e+00
z_jg[1685,2]    -7.0e-02  6.5e-03  8.9e-01  -1.6e+00  -7.0e-02   1.4e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1685,3]     3.1e-01  6.4e-03  8.3e-01  -1.1e+00   3.1e-01   1.7e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1685,4]    -3.6e-02  6.3e-03  9.8e-01  -1.7e+00  -3.1e-02   1.6e+00  2.4e+04  5.8e-02  1.0e+00
z_jg[1685,5]     8.8e-03  6.9e-03  1.0e+00  -1.7e+00   1.2e-02   1.7e+00  2.2e+04  5.2e-02  1.0e+00
z_jg[1685,6]     3.4e-03  6.5e-03  1.0e+00  -1.7e+00   8.4e-03   1.6e+00  2.3e+04  5.6e-02  1.0e+00
z_jg[1686,1]     9.2e-01  6.0e-03  5.5e-01   3.1e-02   9.3e-01   1.8e+00  8.2e+03  2.0e-02  1.0e+00
z_jg[1686,2]    -9.4e-01  8.3e-03  8.2e-01  -2.3e+00  -9.3e-01   4.1e-01  9.8e+03  2.4e-02  1.0e+00
z_jg[1686,3]    -2.6e-01  5.9e-03  8.1e-01  -1.6e+00  -2.5e-01   1.1e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1686,4]    -1.4e-01  7.3e-03  9.3e-01  -1.7e+00  -1.3e-01   1.4e+00  1.6e+04  4.0e-02  1.0e+00
z_jg[1686,5]     1.3e-02  7.1e-03  1.0e+00  -1.6e+00   5.0e-03   1.7e+00  2.0e+04  4.8e-02  1.0e+00
z_jg[1686,6]    -9.6e-03  6.8e-03  1.0e+00  -1.7e+00  -1.5e-02   1.7e+00  2.3e+04  5.5e-02  1.0e+00
z_jg[1687,1]    -3.4e-01  6.4e-03  9.0e-01  -1.8e+00  -3.2e-01   1.1e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1687,2]     2.7e-01  8.1e-03  9.7e-01  -1.3e+00   2.7e-01   1.9e+00  1.4e+04  3.4e-02  1.0e+00
z_jg[1687,3]    -1.2e+00  5.5e-03  7.8e-01  -2.5e+00  -1.2e+00   9.8e-02  2.0e+04  4.8e-02  1.0e+00
z_jg[1687,4]    -2.4e-02  7.6e-03  9.9e-01  -1.7e+00  -8.7e-03   1.6e+00  1.7e+04  4.1e-02  1.0e+00
z_jg[1687,5]     6.4e-03  6.9e-03  9.9e-01  -1.6e+00   8.8e-03   1.6e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1687,6]    -2.1e-02  6.6e-03  9.9e-01  -1.6e+00  -1.9e-02   1.6e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1688,1]    -3.6e-01  6.7e-03  8.6e-01  -1.8e+00  -3.3e-01   1.0e+00  1.6e+04  3.9e-02  1.0e+00
z_jg[1688,2]     1.5e-01  6.9e-03  9.5e-01  -1.4e+00   1.4e-01   1.7e+00  1.9e+04  4.5e-02  1.0e+00
z_jg[1688,3]    -1.4e-02  6.0e-03  8.1e-01  -1.4e+00  -8.4e-03   1.3e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1688,4]    -1.4e-01  7.0e-03  9.5e-01  -1.7e+00  -1.2e-01   1.4e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1688,5]     1.5e-02  7.0e-03  1.0e+00  -1.6e+00   2.1e-02   1.7e+00  2.1e+04  5.0e-02  1.0e+00
z_jg[1688,6]     2.7e-03  6.4e-03  9.8e-01  -1.6e+00   3.6e-03   1.6e+00  2.3e+04  5.6e-02  1.0e+00
z_jg[1689,1]    -4.0e-01  6.6e-03  8.3e-01  -1.8e+00  -4.0e-01   9.8e-01  1.6e+04  3.8e-02  1.0e+00
z_jg[1689,2]     1.3e-01  7.0e-03  9.1e-01  -1.4e+00   1.3e-01   1.6e+00  1.7e+04  4.0e-02  1.0e+00
z_jg[1689,3]    -5.9e-02  6.9e-03  9.4e-01  -1.6e+00  -6.6e-02   1.5e+00  1.8e+04  4.4e-02  1.0e+00
z_jg[1689,4]    -3.6e-01  6.8e-03  8.7e-01  -1.8e+00  -3.4e-01   1.0e+00  1.6e+04  3.9e-02  1.0e+00
z_jg[1689,5]     1.6e-03  7.1e-03  9.9e-01  -1.6e+00   8.8e-03   1.6e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1689,6]    -1.6e-02  6.7e-03  9.9e-01  -1.7e+00  -1.8e-02   1.6e+00  2.2e+04  5.3e-02  1.0e+00
z_jg[1690,1]     9.9e-01  7.7e-03  8.4e-01  -3.9e-01   9.9e-01   2.4e+00  1.2e+04  2.9e-02  1.0e+00
z_jg[1690,2]    -9.8e-01  7.8e-03  9.1e-01  -2.5e+00  -9.9e-01   5.5e-01  1.3e+04  3.2e-02  1.0e+00
z_jg[1690,3]    -9.9e-02  6.5e-03  9.5e-01  -1.6e+00  -1.1e-01   1.4e+00  2.1e+04  5.2e-02  1.0e+00
z_jg[1690,4]    -2.0e-01  7.1e-03  8.9e-01  -1.7e+00  -1.7e-01   1.2e+00  1.6e+04  3.8e-02  1.0e+00
z_jg[1690,5]     7.7e-04  7.0e-03  9.9e-01  -1.6e+00  -5.7e-03   1.6e+00  2.0e+04  4.9e-02  1.0e+00
z_jg[1690,6]     3.0e-04  7.0e-03  9.8e-01  -1.6e+00  -1.8e-03   1.6e+00  2.0e+04  4.7e-02  1.0e+00
z_jg[1691,1]     9.5e-01  6.6e-03  8.0e-01  -3.6e-01   9.7e-01   2.2e+00  1.5e+04  3.6e-02  1.0e+00
z_jg[1691,2]    -7.9e-01  7.2e-03  9.0e-01  -2.2e+00  -7.8e-01   6.9e-01  1.6e+04  3.7e-02  1.0e+00
z_jg[1691,3]     3.8e-01  6.7e-03  9.3e-01  -1.1e+00   4.0e-01   1.9e+00  1.9e+04  4.7e-02  1.0e+00
